client_id,income,credit_score,MEAN(loans.repaid),MEAN(loans.rate),MEAN(loans.loan_amount),MAX(loans.repaid),MAX(loans.rate),MAX(loans.loan_amount),LAST(loans.repaid),LAST(loans.rate),LAST(loans.loan_type),LAST(loans.loan_id),LAST(loans.loan_amount),MEAN(payments.payment_amount),MAX(payments.payment_amount),LAST(payments.payment_id),LAST(payments.payment_amount),LAST(payments.missed),MONTH(joined),YEAR(joined),MEAN(loans.MEAN(payments.payment_amount)),MEAN(loans.LAST(payments.payment_amount)),MEAN(loans.MAX(payments.payment_amount)),MAX(loans.MEAN(payments.payment_amount)),MAX(loans.LAST(payments.payment_amount)),LAST(loans.YEAR(loan_end)),LAST(loans.MONTH(loan_end)),LAST(loans.MEAN(payments.payment_amount)),LAST(loans.MAX(payments.payment_amount)),LAST(loans.MONTH(loan_start)),LAST(loans.YEAR(loan_start)),MEAN(payments.loans.loan_amount),MEAN(payments.loans.repaid),MEAN(payments.loans.rate),MAX(payments.loans.loan_amount),MAX(payments.loans.repaid),MAX(payments.loans.rate),LAST(payments.loans.loan_amount),LAST(payments.loans.rate),LAST(payments.loans.repaid),LAST(payments.loans.loan_type),LAST(payments.loans.client_id),MONTH(LAST(loans.loan_end)),MONTH(LAST(payments.payment_date)),MONTH(LAST(loans.loan_start)),YEAR(LAST(loans.loan_end)),YEAR(LAST(payments.payment_date)),YEAR(LAST(loans.loan_start))
42320,229481,563,0.6,2.4573333333333336,7062.066666666667,1,6.74,13887,0,3.18,home,10156,8090,1021.4833333333333,2769,1542,1082,1,4,2000,1042.907671957672,1001.7333333333333,1325.0666666666666,2229.4,2098,2015,4,1192.3333333333333,1484,9,2012,7028.058333333333,0.5833333333333334,2.5236666666666676,13887,1,6.74,8090,3.18,0,home,42320,4,4,9,2015,2013,2012
39384,191204,617,0.631578947368421,3.53842105263158,7865.473684210527,1,9.23,14654,0,2.26,other,11735,14654,1193.6301369863013,2822,2562,2045,1,6,2000,1194.6282274313235,1265.0,1503.4736842105262,2311.285714285714,2472,2016,3,2311.285714285714,2822,7,2014,7957.130136986301,0.5753424657534246,3.418630136986304,14654,1,9.23,14654,2.26,0,other,39384,3,3,7,2016,2015,2014
26945,214516,806,0.4,2.8553333333333333,7125.933333333333,1,5.65,14593,1,2.86,cash,11482,9249,1109.4732142857142,2768,3340,1597,1,11,2000,1115.1501119251118,1237.4,1411.6,2272.8571428571427,2530,2016,5,1598.6666666666667,1834,12,2013,6884.401785714285,0.3392857142857143,2.9475892857142836,14593,1,5.65,9249,2.86,1,cash,26945,5,7,12,2016,2014,2013
41472,152214,638,0.5,3.9812500000000006,7510.8125,1,9.82,13657,0,1.03,cash,11936,10122,1129.0761904761905,2436,3129,1453,0,11,2001,1133.4141617063492,1076.9375,1382.6875,1992.25,2230,2016,6,1427.0,1803,8,2014,7473.628571428571,0.5333333333333333,4.146285714285716,13657,1,9.82,10122,1.03,0,cash,41472,6,3,8,2016,2015,2014
46180,43851,562,0.5,3.5025,7700.85,1,9.26,14081,0,1.38,other,10887,3834,1186.5503355704698,2660,437,697,1,11,2001,1163.8033829365081,1176.4,1491.45,2016.75,2273,2016,2,557.125,706,5,2014,7668.89932885906,0.4966442953020134,3.8820805369127513,14081,1,9.26,3834,1.38,0,other,46180,2,2,5,2016,2015,2014
46109,172677,527,0.55,3.1524999999999994,8951.6,1,9.48,14049,0,2.82,other,11961,10853,1375.5602836879432,2735,102,1827,0,4,2002,1422.4612896825397,1433.4,1820.5,2334.6666666666665,2644,2015,8,1708.875,1983,11,2013,8508.234042553191,0.5390070921985816,3.195390070921987,14049,1,9.48,10853,2.82,0,other,46109,8,6,11,2015,2014,2013
32885,58955,642,0.5333333333333333,2.436,9920.4,1,9.11,14162,0,9.11,other,11652,11886,1396.495652173913,2422,2170,1909,0,5,2002,1438.236984126984,1614.0666666666666,1866.8666666666666,2127.5,2367,2016,12,1729.0,2025,5,2014,9445.269565217392,0.5478260869565217,2.1301739130434765,14162,1,9.11,11886,9.11,0,other,32885,12,12,5,2016,2014,2014
29841,38354,523,0.5555555555555556,3.4450000000000003,9813.0,1,6.76,14837,1,5.09,home,11188,7223,1439.4333333333334,2898,1912,800,1,8,2002,1455.2337369420702,1416.8333333333333,1866.0,2383.777777777778,2742,2016,2,1125.5,1373,6,2014,9861.08,0.56,3.298466666666665,14837,1,6.76,7223,5.09,1,home,29841,2,1,6,2016,2015,2014
38537,127183,643,0.5882352941176471,2.389411764705882,8986.35294117647,1,8.01,14804,1,0.64,cash,11654,8797,1340.6829268292684,2889,2843,1615,0,10,2002,1368.3815592903827,1456.7058823529412,1701.3529411764705,2542.1428571428573,2837,2016,1,1348.8333333333333,1634,3,2014,8832.69918699187,0.5853658536585366,2.585934959349591,14804,1,8.01,8797,0.64,1,cash,38537,1,9,3,2016,2014,2014
35214,95849,696,0.4444444444444444,3.1083333333333325,7173.555555555556,1,8.44,14767,0,1.4,home,10336,9389,1076.987951807229,2874,1160,1615,1,8,2003,1085.1684002725667,1296.0,1534.6666666666667,2506.8,2671,2016,5,1410.25,1833,3,2014,6959.722891566265,0.39156626506024095,3.1079518072289183,14767,1,8.44,9389,1.4,0,home,35214,5,11,3,2016,2014,2014
49068,128813,603,0.7222222222222222,3.095555555555556,7617.888888888889,1,6.78,13910,1,0.63,other,10131,10082,1204.3087248322147,2738,2247,1431,0,2,2004,1180.5770266226148,1139.7222222222222,1543.9444444444443,2263.0,2525,2016,5,1542.125,1924,10,2014,7619.060402684564,0.7315436241610739,2.915771812080533,13910,1,6.78,10082,0.63,1,other,49068,5,6,10,2016,2015,2014
26326,227920,633,0.5,2.517500000000001,7270.0625,1,6.73,13464,0,1.45,credit,11072,5275,1166.7368421052631,2658,1418,932,1,5,2004,1161.6916080447331,1155.375,1547.5,2143.8888888888887,2483,2016,7,977.375,1573,11,2014,7146.1578947368425,0.47368421052631576,2.3780451127819533,13464,1,6.73,5275,1.45,0,credit,26326,7,8,11,2016,2015,2014
26695,174532,680,0.3888888888888889,2.466111111111111,7824.722222222223,1,6.51,14865,1,0.9,other,10985,13918,1207.4338235294117,2932,2667,2084,0,8,2004,1221.2006146903207,1276.2222222222222,1518.8333333333333,2511.8,2271,2016,10,1769.1666666666667,2084,10,2014,7635.764705882353,0.39705882352941174,2.6077941176470567,14865,1,6.51,13918,0.9,1,other,26695,10,3,10,2016,2015,2014
44601,156341,518,0.75,4.151,6869.25,1,9.22,14104,1,2.76,other,10289,6129,1087.7628205128206,2659,1997,645,1,10,2004,1023.4024404761907,1095.35,1319.0,1968.0,2488,2015,5,973.1666666666666,1182,10,2013,7413.7692307692305,0.7307692307692307,4.196602564102565,14104,1,9.22,5478,3.61,1,credit,44601,5,9,10,2015,2014,2013
32726,235705,730,0.5789473684210527,3.0589473684210526,6633.263157894737,1,9.1,14802,1,2.83,other,10858,5325,944.2980132450331,2695,876,1013,0,5,2006,1014.1636800334171,1066.4736842105262,1315.7368421052631,2325.285714285714,2695,2016,10,799.5,1013,4,2014,6010.9668874172185,0.5960264900662252,3.05933774834437,14802,1,9.1,5325,2.83,1,other,32726,10,12,4,2016,2014,2014
25707,211422,621,0.4,3.4770000000000003,7963.95,1,9.44,13913,0,7.4,home,10363,2203,1178.552795031056,2704,566,241,1,10,2006,1175.7609960872464,1195.55,1578.75,2155.1428571428573,2402,2015,8,293.5,368,2,2014,8004.1366459627325,0.4658385093167702,3.2987577639751526,13913,1,9.44,2203,7.4,0,home,25707,8,11,2,2015,2014,2014
49545,104564,770,0.7,2.6839999999999997,10289.3,1,6.52,14971,1,4.23,home,11514,7061,1481.1884816753927,2873,1131,1910,0,11,2007,1496.020607746722,1439.1,1992.05,2537.0,2849,2015,12,1130.888888888889,1348,3,2014,10487.712041884817,0.5863874345549738,3.106020942408377,14971,1,6.52,10422,0.05,1,cash,49545,12,4,3,2015,2015,2014
48177,190632,769,0.42105263157894735,3.938947368421053,7424.368421052632,1,10.89,14740,1,1.52,credit,10684,659,1199.7151898734178,2724,1308,115,0,6,2008,1127.7644110275692,1077.2105263157894,1546.3684210526317,2160.375,2482,2017,1,98.66666666666667,119,10,2014,7731.120253164557,0.43037974683544306,3.8884177215189895,14740,1,10.89,659,1.52,1,credit,48177,1,7,10,2017,2015,2014
32961,230341,714,0.5294117647058824,3.930588235294118,7882.235294117647,1,9.14,14784,1,1.46,cash,11669,1693,1039.0534351145038,2791,1795,223,1,4,2009,1155.5841108238164,1312.6470588235295,1579.6470588235295,2169.0,2791,2017,1,282.6,337,5,2014,7223.740458015267,0.4198473282442748,3.9048854961832014,14784,1,9.14,1693,1.46,1,cash,32961,1,10,5,2017,2014,2014
44387,151903,781,0.6,2.806666666666667,7387.733333333334,1,5.97,14900,1,4.1,credit,10109,7279,1055.7522935779816,2915,2419,305,1,7,2009,1060.0883028083028,950.8,1358.0666666666666,2200.875,2445,2016,6,1050.0,1243,3,2014,7439.128440366972,0.5045871559633027,2.608256880733946,14900,1,5.97,2559,3.27,0,cash,44387,6,11,3,2016,2014,2014
35089,131176,771,0.6,3.5134999999999996,6939.2,1,7.63,13194,1,7.63,other,11595,773,1094.748427672956,2563,957,106,0,3,2010,1051.9379888167389,923.45,1320.65,2089.6363636363635,1703,2016,4,110.4,122,9,2014,7230.987421383647,0.6352201257861635,3.333899371069184,13194,1,7.63,773,7.63,1,other,35089,4,4,9,2016,2015,2014
46958,225709,644,0.23076923076923078,3.1538461538461537,9378.384615384615,1,6.17,14942,0,0.32,credit,10195,8308,1346.4130434782608,2986,2964,1451,0,7,2011,1362.4122100122102,1373.076923076923,1766.4615384615386,2033.4,2265,2017,5,1248.375,1659,8,2014,9337.978260869566,0.20652173913043478,3.1001086956521706,14942,1,6.17,8308,0.32,0,credit,46958,5,5,8,2017,2015,2014
39505,153873,610,0.45,3.1905000000000006,7424.05,1,9.91,14575,0,0.25,cash,10966,9600,1162.0264900662253,2764,698,1072,1,10,2011,1109.3341821577117,1160.0,1440.5,2355.5714285714284,2703,2017,2,1230.7777777777778,1784,6,2014,7650.635761589404,0.4105960264900662,3.0905298013244993,14575,1,9.91,9600,0.25,0,cash,39505,2,4,6,2017,2015,2014
49624,49036,800,0.6,4.037333333333334,9174.533333333333,1,12.62,14679,0,3.18,cash,10454,8621,1419.09900990099,2866,3198,1369,1,8,2012,1372.2650529100529,1296.5333333333333,1695.5333333333333,2335.8888888888887,2538,2015,12,1432.142857142857,1674,7,2014,9446.69306930693,0.6237623762376238,4.334851485148516,14679,1,12.62,8621,3.18,0,cash,49624,12,5,7,2015,2015,2014
41480,122607,585,0.5,3.1104999999999996,7894.85,1,10.49,14399,1,6.48,home,10991,11154,1246.5099337748345,2719,377,2115,0,3,2013,1271.4157089438338,1249.9,1638.7,2143.1428571428573,2543,2016,6,1862.8,2169,8,2014,7455.64238410596,0.47019867549668876,2.8982781456953646,14399,1,10.49,11154,6.48,1,home,41480,6,3,8,2016,2015,2014
